epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.0069,1.51565,0.25838,0.90852,4.66536,0.08064,0.000195556,0.000195556
2,21.7745,1.06969,0.59916,0.99511,0.99772,0.06084,0.000395531,0.000395531
3,28.9907,0.67002,0.46788,0.9183,3.09766,0.0410399,0.000595409,0.000595409
4,36.2642,0.4569,0.94483,1,0.17875,0.0212396,0.000795114,0.000795114
5,43.5217,0.33995,0.96299,1,0.09595,0.00143902,0.000994574,0.000994574
6,50.6984,0.26344,0.96927,1,0.08289,0.00099846,0.00099846,0.00099846
7,57.9983,0.21024,0.94693,1,0.13444,0.000997783,0.000997783,0.000997783
8,65.1138,0.1591,0.99162,1,0.0269,0.000996983,0.000996983,0.000996983
9,72.2503,0.13266,0.99511,1,0.0172,0.000996061,0.000996061,0.000996061
10,79.5145,0.14729,0.99511,1,0.02121,0.000995017,0.000995017,0.000995017
11,86.6362,0.13172,0.96369,1,0.12313,0.00099385,0.00099385,0.00099385
12,93.9089,0.09947,0.69274,0.99511,1.19401,0.000992562,0.000992562,0.000992562
13,101.123,0.10129,0.9986,1,0.00797,0.000991152,0.000991152,0.000991152
14,108.345,0.10241,0.97207,1,0.07017,0.000989622,0.000989622,0.000989622
15,115.551,0.07926,0.98534,1,0.03388,0.00098797,0.00098797,0.00098797
16,122.853,0.07111,0.99721,1,0.0148,0.000986199,0.000986199,0.000986199
17,130.065,0.07541,0.99372,1,0.02864,0.000984307,0.000984307,0.000984307
18,137.382,0.07692,0.95182,1,0.17666,0.000982296,0.000982296,0.000982296
19,144.565,0.08692,0.98394,1,0.04264,0.000980167,0.000980167,0.000980167
20,151.673,0.07327,0.97626,1,0.07831,0.000977919,0.000977919,0.000977919
21,158.929,0.06148,0.99441,1,0.01325,0.000975553,0.000975553,0.000975553
22,165.981,0.05908,0.97975,1,0.06788,0.00097307,0.00097307,0.00097307
23,173.308,0.05942,0.99302,1,0.01936,0.00097047,0.00097047,0.00097047
24,180.521,0.06272,0.9993,1,0.00449,0.000967754,0.000967754,0.000967754
25,188.088,0.05143,0.9993,1,0.00383,0.000964923,0.000964923,0.000964923
26,194.896,0.05439,0.93715,0.9993,0.26481,0.000961978,0.000961978,0.000961978
27,202.18,0.05608,0.98464,1,0.04341,0.000958918,0.000958918,0.000958918
28,209.453,0.05399,1,1,0.00419,0.000955746,0.000955746,0.000955746
29,216.68,0.04505,1,1,0.00209,0.000952461,0.000952461,0.000952461
30,224.046,0.05401,0.9986,1,0.00551,0.000949065,0.000949065,0.000949065
31,231.247,0.05089,0.9993,1,0.00292,0.000945558,0.000945558,0.000945558
32,238.62,0.05468,0.99651,1,0.00771,0.000941941,0.000941941,0.000941941
33,246.07,0.04219,0.99372,1,0.0168,0.000938215,0.000938215,0.000938215
34,253.231,0.03897,0.99721,1,0.00703,0.000934381,0.000934381,0.000934381
35,260.704,0.04013,0.99791,1,0.01067,0.000930441,0.000930441,0.000930441
36,268.017,0.03904,0.99721,1,0.01661,0.000926394,0.000926394,0.000926394
37,275.602,0.04339,1,1,0.00065,0.000922242,0.000922242,0.000922242
38,282.707,0.04334,0.9993,1,0.00316,0.000917986,0.000917986,0.000917986
39,289.95,0.04001,1,1,0.00033,0.000913627,0.000913627,0.000913627
40,297.362,0.03419,0.9993,1,0.00129,0.000909166,0.000909166,0.000909166
41,304.835,0.04168,0.99372,1,0.02128,0.000904604,0.000904604,0.000904604
42,312.39,0.04153,1,1,0.00151,0.000899942,0.000899942,0.000899942
43,319.133,0.03886,1,1,0.00162,0.000895182,0.000895182,0.000895182
44,326.414,0.03762,0.9986,1,0.00506,0.000890325,0.000890325,0.000890325
45,333.885,0.03605,0.9986,1,0.00305,0.000885371,0.000885371,0.000885371
46,341.067,0.03324,0.99651,1,0.0063,0.000880323,0.000880323,0.000880323
47,348.472,0.02889,0.9993,1,0.00171,0.00087518,0.00087518,0.00087518
48,355.69,0.03014,0.99721,1,0.00592,0.000869946,0.000869946,0.000869946
